index	name	color	mapping
1	ctx-rh-lateralorbitofrontal 	#000000	8
2	ctx-rh-parsorbitalis 	#146432	8
3	ctx-rh-frontalpole 	#640064	8
4	ctx-rh-medialorbitofrontal 	#c8234b	8
5	ctx-rh-parstriangularis 	#dc3c14	8
6	ctx-rh-parsopercularis 	#dcb48c	8
7	ctx-rh-rostralmiddlefrontal 	#4b327d	8
8	ctx-rh-superiorfrontal 	#14dca0	8
9	ctx-rh-caudalmiddlefrontal 	#641900	8
10	ctx-rh-precentral 	#3c14dc	8
11	ctx-rh-paracentral 	#3cdc3c	8
12	ctx-rh-rostralanteriorcingulate 	#50148c	8
13	ctx-rh-caudalanteriorcingulate 	#7d64a0	8
14	ctx-rh-posteriorcingulate 	#dcb4dc	8
15	ctx-rh-isthmuscingulate 	#8c148c	8
16	ctx-rh-postcentral 	#dc1414	8
17	ctx-rh-supramarginal 	#50a014	8
18	ctx-rh-superiorparietal 	#14b48c	8
19	ctx-rh-inferiorparietal 	#dc3cdc	8
20	ctx-rh-precuneus 	#a08cb4	8
21	ctx-rh-cuneus 	#dc1464	8
22	ctx-rh-pericalcarine 	#78643c	8
23	ctx-rh-lateraloccipital 	#141e8c	8
24	ctx-rh-lingual 	#e18c8c	8
25	ctx-rh-fusiform 	#b4dc8c	8
26	ctx-rh-parahippocampal 	#14dc3c	8
27	ctx-rh-entorhinal 	#dc140a	8
28	ctx-rh-temporalpole 	#464646	8
29	ctx-rh-inferiortemporal 	#b42878	8
30	ctx-rh-middletemporal 	#a06432	8
31	ctx-rh-bankssts 	#196428	8
32	ctx-rh-superiortemporal 	#8cdcdc	8
33	ctx-rh-transversetemporal 	#9696c8	8
34	ctx-rh-insula 	#ffc020	8
35	right-thalamus_proper	#00760e	9
36	right-caudate	#7abadc	9
37	right-putamen	#ec0db0	9
38	right-pallidum	#0c30ff	9
39	right-accumbens_area	#ffa500	9
40	right-hippocampus	#67ffff	9
41	right-amygdala	#dcd814	9
42	ctx-lh-lateralorbitofrontal 	#000000	8
43	ctx-lh-parsorbitalis 	#146432	8
44	ctx-lh-frontalpole 	#640064	8
45	ctx-lh-medialorbitofrontal 	#c8234b	8
46	ctx-lh-parstriangularis 	#dc3c14	8
47	ctx-lh-parsopercularis 	#dcb48c	8
48	ctx-lh-rostralmiddlefrontal 	#4b327d	8
49	ctx-lh-superiorfrontal 	#14dca0	8
50	ctx-lh-caudalmiddlefrontal 	#641900	8
51	ctx-lh-precentral 	#3c14dc	8
52	ctx-lh-paracentral 	#3cdc3c	8
53	ctx-lh-rostralanteriorcingulate 	#50148c	8
54	ctx-lh-caudalanteriorcingulate 	#7d64a0	8
55	ctx-lh-posteriorcingulate 	#dcb4dc	8
56	ctx-lh-isthmuscingulate 	#8c148c	8
57	ctx-lh-postcentral 	#dc1414	8
58	ctx-lh-supramarginal 	#50a014	8
59	ctx-lh-superiorparietal 	#14b48c	8
60	ctx-lh-inferiorparietal 	#dc3cdc	8
61	ctx-lh-precuneus 	#a08cb4	8
62	ctx-lh-cuneus 	#dc1464	8
63	ctx-lh-pericalcarine 	#78643c	8
64	ctx-lh-lateraloccipital 	#141e8c	8
65	ctx-lh-lingual 	#e18c8c	8
66	ctx-lh-fusiform 	#b4dc8c	8
67	ctx-lh-parahippocampal 	#14dc3c	8
68	ctx-lh-entorhinal 	#dc140a	8
69	ctx-lh-temporalpole 	#464646	8
70	ctx-lh-inferiortemporal 	#b42878	8
71	ctx-lh-middletemporal 	#a06432	8
72	ctx-lh-bankssts 	#196428	8
73	ctx-lh-superiortemporal 	#8cdcdc	8
74	ctx-lh-transversetemporal 	#9696c8	8
75	ctx-lh-insula 	#ffc020	8
76	left-thalamus_proper	#00760e	9
77	left-caudate	#7abadc	9
78	left-putamen	#ec0db0	9
79	left-pallidum	#0c30ff	9
80	left-accumbens_area	#ffa500	9
81	left-hippocampus	#67ffff	9
82	left-amygdala	#dcd814	9
83	brainstem	#779fb0	10
