name	type	units	sampling_frequency	status
A1	EEG	uV	2048	good
A2	EEG	uV	2048	good
A3	EEG	uV	2048	good
A4	EEG	uV	2048	good
A5	EEG	uV	2048	good
A6	EEG	uV	2048	good
A7	EEG	uV	2048	good
A8	EEG	uV	2048	good
A9	EEG	uV	2048	good
A10	EEG	uV	2048	good
A11	EEG	uV	2048	good
A12	EEG	uV	2048	good
A13	EEG	uV	2048	good
A14	EEG	uV	2048	good
A15	EEG	uV	2048	good
A16	EEG	uV	2048	good
A17	EEG	uV	2048	good
A18	EEG	uV	2048	good
A19	EEG	uV	2048	good
A20	EEG	uV	2048	good
A21	EEG	uV	2048	good
A22	EEG	uV	2048	good
A23	EEG	uV	2048	bad
A24	EEG	uV	2048	good
A25	EEG	uV	2048	good
A26	EEG	uV	2048	good
A27	EEG	uV	2048	good
A28	EEG	uV	2048	good
A29	EEG	uV	2048	good
A30	EEG	uV	2048	good
A31	EEG	uV	2048	good
A32	EEG	uV	2048	good
B1	EEG	uV	2048	good
B2	EEG	uV	2048	good
B3	EEG	uV	2048	good
B4	EEG	uV	2048	good
B5	EEG	uV	2048	good
B6	EEG	uV	2048	good
B7	EEG	uV	2048	good
B8	EEG	uV	2048	good
B9	EEG	uV	2048	good
B10	EEG	uV	2048	good
B11	EEG	uV	2048	good
B12	EEG	uV	2048	good
B13	EEG	uV	2048	good
B14	EEG	uV	2048	good
B15	EEG	uV	2048	good
B16	EEG	uV	2048	good
B17	EEG	uV	2048	bad
B18	EEG	uV	2048	good
B19	EEG	uV	2048	good
B20	EEG	uV	2048	good
B21	EEG	uV	2048	good
B22	EEG	uV	2048	good
B23	EEG	uV	2048	good
B24	EEG	uV	2048	good
B25	EEG	uV	2048	good
B26	EEG	uV	2048	good
B27	EEG	uV	2048	good
B28	EEG	uV	2048	good
B29	EEG	uV	2048	good
B30	EEG	uV	2048	good
B31	EEG	uV	2048	good
B32	EEG	uV	2048	good
C1	EEG	uV	2048	good
C2	EEG	uV	2048	good
C3	EEG	uV	2048	good
C4	EEG	uV	2048	good
C5	EEG	uV	2048	good
C6	EEG	uV	2048	good
C7	EEG	uV	2048	good
C8	EEG	uV	2048	good
C9	EEG	uV	2048	good
C10	EEG	uV	2048	bad
C11	EEG	uV	2048	good
C12	EEG	uV	2048	good
C13	EEG	uV	2048	good
C14	EEG	uV	2048	good
C15	EEG	uV	2048	good
C16	EEG	uV	2048	good
C17	EEG	uV	2048	good
C18	EEG	uV	2048	good
C19	EEG	uV	2048	good
C20	EEG	uV	2048	good
C21	EEG	uV	2048	good
C22	EEG	uV	2048	good
C23	EEG	uV	2048	good
C24	EEG	uV	2048	good
C25	EEG	uV	2048	good
C26	EEG	uV	2048	good
C27	EEG	uV	2048	good
C28	EEG	uV	2048	good
C29	EEG	uV	2048	good
C30	EEG	uV	2048	good
C31	EEG	uV	2048	good
C32	EEG	uV	2048	good
D1	EEG	uV	2048	good
D2	EEG	uV	2048	good
D3	EEG	uV	2048	good
D4	EEG	uV	2048	good
D5	EEG	uV	2048	good
D6	EEG	uV	2048	good
D7	EEG	uV	2048	good
D8	EEG	uV	2048	good
D9	EEG	uV	2048	good
D10	EEG	uV	2048	good
D11	EEG	uV	2048	good
D12	EEG	uV	2048	good
D13	EEG	uV	2048	good
D14	EEG	uV	2048	bad
D15	EEG	uV	2048	good
D16	EEG	uV	2048	good
D17	EEG	uV	2048	good
D18	EEG	uV	2048	good
D19	EEG	uV	2048	bad
D20	EEG	uV	2048	good
D21	EEG	uV	2048	good
D22	EEG	uV	2048	good
D23	EEG	uV	2048	good
D24	EEG	uV	2048	good
D25	EEG	uV	2048	good
D26	EEG	uV	2048	good
D27	EEG	uV	2048	good
D28	EEG	uV	2048	good
D29	EEG	uV	2048	good
D30	EEG	uV	2048	good
D31	EEG	uV	2048	good
D32	EEG	uV	2048	good
